,pa_id,poi_common_id,poi_name,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_additional_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_lat,poi_lon,poi_created,poi_updated,poi_deleted,pc_id,poi_common_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,export_poi_name,do_not_export_addr_tags,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,additional_ref_name,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags,osm_nodes,poi_distance,poi_new
180,1207,3,,Cba Attila Csemege,23.0,1012,Budapest,Attila út,109,,POINT (47.50175 19.02784),Attila u. 109.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,07:00:00,07:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,20:00:00,,,,,,,,,,,,,,,,,False,Mo-Fr 06:00-21:00; Sa 07:00-21:00; Su 07:00-20:00; PH off,47.501738,19.0277889,2023-03-06 20:11:35.097464+00:00,,,3,CBA,shop,"{'shop': 'convenience', 'brand': 'CBA', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,True,False,2000.0,200.0,5.0,,1948976083,OSM_object_type.node,4,0,2021-10-10 12:40:44.000000,"{'addr:street': 'Attila út', 'branch': 'Attila út', 'brand': 'CBA', 'brand:wikidata': 'Q779845', 'brand:wikipedia': 'en:CBA (food retail)', 'name': 'CBA', 'opening_hours': 'Mo-Fr 06:00-21:00; Sa 07:00-21:00; Su 07:00-20:00', 'shop': 'convenience', 'wheelchair': 'no'}",,4.06392513,False
181,1667,3,,Ybl Bistro,24.0,1013,Budapest,Ybl Miklós tér,2-6,,POINT (47.49349 19.04313),Ybl Miklós tér 2-6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,,,,,,,,,,,,,,,,,False,Mo-Su 10:00-22:00; PH off,47.49349,19.04313,2023-03-06 20:11:35.097464+00:00,,,3,CBA,shop,"{'shop': 'convenience', 'brand': 'CBA', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,True,False,2000.0,200.0,5.0,,,,,,2023-03-07 20:36:30.426793,,,,True
182,1145,3,,Budavár Élelmiszer Üzlet,25.0,1014,Budapest,Tárnok utca,22-24,,POINT (47.50098 19.03389),Tárnok u. 22-24,,,,,,,,,,,,,,,,,,+36 1 225 3284,budavar@cba-budavar.hu,,,,,,,,,,,,,,,,,,,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,09:00:00,20:00:00,20:00:00,20:00:00,20:00:00,20:00:00,20:00:00,18:00:00,,,,,,,,,,,,,,,,,False,Mo-Sa 07:00-20:00; Su 09:00-18:00; PH off,47.5009557,19.0338399,2023-03-06 20:11:35.097464+00:00,,,3,CBA,shop,"{'shop': 'convenience', 'brand': 'CBA', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,True,False,2000.0,200.0,5.0,,736659973,OSM_object_type.node,9,0,2021-09-09 19:34:23.000000,"{'addr:city': 'Budapest', 'addr:housenumber': '22-24', 'addr:postcode': '1014', 'addr:street': 'Tárnok utca', 'brand': 'CBA', 'brand:wikidata': 'Q779845', 'brand:wikipedia': 'en:CBA (food retail)', 'name': 'Príma', 'opening_hours': 'Mo-Sa 07:00-20:00; Su 09:00-18:00', 'shop': 'supermarket', 'wheelchair': 'no', 'wheelchair:description': '3 lépcső'}",,0,False
183,1160,3,,Batthyány Csemege,26.0,1015,Budapest,Batthyány utca,28,,POINT (47.50701 19.03134),Batthyány utca 28,,,,,,,,,,,,,,,,,,+36 30 278 7759,batthyany@mcsemege.hu,,,,,,,,,,,,,,,,,,,06:30:00,06:30:00,06:30:00,06:30:00,06:30:00,07:00:00,08:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,17:00:00,17:00:00,,,,,,,,,,,,,,,,,False,Mo-Fr 06:30-21:00; Sa 07:00-17:00; Su 08:00-17:00; PH off,47.5070666,19.0314484,2023-03-06 20:11:35.097464+00:00,,,3,CBA,shop,"{'shop': 'convenience', 'brand': 'CBA', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,True,False,2000.0,200.0,5.0,,2055979445,OSM_object_type.node,3,0,2022-03-30 09:04:40.000000,"{'brand': 'CBA', 'brand:wikidata': 'Q779845', 'brand:wikipedia': 'en:CBA (food retail)', 'name': 'CBA', 'shop': 'supermarket', 'wheelchair': 'no'}",,10.2910056,False
184,1163,3,,Naphegy Csemege,27.0,1016,Budapest,Naphegy tér,3,,POINT (47.49268 19.03244),Naphegy tér 3,,,,,,,,,,,,,,,,,,+36 30 864 3095,naphegy@mcsemege.hu,,,,,,,,,,,,,,,,,,,06:30:00,06:30:00,06:30:00,06:30:00,06:30:00,07:00:00,08:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,17:00:00,17:00:00,,,,,,,,,,,,,,,,,False,Mo-Fr 06:30-21:00; Sa 07:00-17:00; Su 08:00-17:00; PH off,47.49261405,19.03217966856145,2023-03-06 20:11:35.097464+00:00,,,3,CBA,shop,"{'shop': 'convenience', 'brand': 'CBA', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,True,False,2000.0,200.0,5.0,,250165688,OSM_object_type.way,12,0,2022-04-19 11:54:28.000000,"{'addr:city': 'Budapest', 'addr:housenumber': '3', 'addr:postcode': '1016', 'addr:street': 'Naphegy tér', 'building': 'retail', 'building:levels': '1', 'check_date:opening_hours': '2021-09-26', 'contact:website': 'http://www.cbaprima.hu', 'name': 'CBA Príma', 'opening_hours': 'Mo-Fr 06:30-21:00; Sa 07:00-17:00; Su,PH 08:00-17:00', 'roof:shape': 'flat', 'shop': 'supermarket', 'source': 'Bing', 'website': 'http://www.cbaprima.hu', 'wheelchair': 'no', 'wheelchair:description': 'Szűk nem lehet közlekedni kerekesszekkel'}","[2566589094, 2566589059, 2566589053, 2566589082, 2566589094]",0,False
185,1154,3,,Budenz Csemege,28.0,1021,Budapest,Budenz út,26,,POINT (47.5203 18.98739),Budenz út 26.,,,,,,,,,,,,,,,,,,+36 30 746 5696,budenz@mcsemege.hu,,,,,,,,,,,,,,,,,,,06:30:00,06:30:00,06:30:00,06:30:00,06:30:00,07:00:00,08:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,17:00:00,17:00:00,,,,,,,,,,,,,,,,,False,Mo-Fr 06:30-21:00; Sa 07:00-17:00; Su 08:00-17:00; PH off,47.52025655,18.987398418958662,2023-03-06 20:11:35.097464+00:00,,,3,CBA,shop,"{'shop': 'convenience', 'brand': 'CBA', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,True,False,2000.0,200.0,5.0,,240324324,OSM_object_type.way,9,0,2022-03-30 12:37:14.000000,"{'addr:city': 'Budapest', 'addr:housenumber': '26', 'addr:postcode': '1021', 'addr:street': 'Budenz út', 'building': 'retail', 'building:levels': '1', 'check_date:opening_hours': '2022-03-30', 'email': 'budenz@cbaprimacsemege.hu', 'name': 'Budenz Csemege', 'opening_hours': 'Mo-Fr 06:30-21:00; Sa 07:00-17:00; Su 08:00-17:00', 'operator': 'Príma', 'phone': '+36 30 746 5696', 'roof:levels': '0', 'roof:shape': 'flat', 'shop': 'supermarket', 'wheelchair': 'yes'}","[2480656987, 2480656988, 2480656989, 2480656990, 2480656991, 2480656992, 2480656987]",0.0,False
186,1182,3,,Cba Hüvösvölgy,28.0,1021,Budapest,Hűvösvölgyi út,135,,POINT (47.53089 18.97851),Hüvösvölgyi u.135.,,,,,,,,,,,,,,,,,,+36 013927087,huvosvolgyi@cba-vorosvar.hu,,,,,,,,,,,,,,,,,,,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,,18:00:00,18:00:00,18:00:00,18:00:00,18:00:00,14:00:00,,,,,,,,,,,,,,,,,,False,Mo-Fr 07:00-18:00; Sa 07:00-14:00; PH off,47.5309267,18.9786002,2023-03-06 20:11:35.097464+00:00,,,3,CBA,shop,"{'shop': 'convenience', 'brand': 'CBA', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,True,False,2000.0,200.0,5.0,,354718675,OSM_object_type.node,5,0,2016-09-06 17:08:41.000000,"{'name': 'CBA élelmiszer', 'opening_hours': 'Mo-Fr 07:00-20:00; Sa 07:00-16:00', 'shop': 'supermarket', 'wheelchair': 'no'}",,7.90657742,False
187,1186,3,,Cba Margit Krt.,31.0,1024,Budapest,Margit körút,50-52,,POINT (47.51066 19.03205),Margit krt.50-52.,,,,,,,,,,,,,,,,,,+36 012010882,margit@cba-vorosvar.hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.5106625,19.0317565,2023-03-06 20:11:35.097464+00:00,,,3,CBA,shop,"{'shop': 'convenience', 'brand': 'CBA', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,True,False,2000.0,200.0,5.0,,2401271395,OSM_object_type.node,6,0,2022-02-03 20:22:32.000000,"{'addr:city': 'Budapest', 'addr:housenumber': '52', 'addr:postcode': '1027', 'addr:street': 'Margit körút', 'brand': 'CBA', 'brand:wikidata': 'Q779845', 'brand:wikipedia': 'en:CBA (food retail)', 'name': 'CBA', 'opening_hours': 'Mo-Fr 06:30-20:00; Sa 06:30-16:00', 'phone': '+36 1 201 0882', 'shop': 'convenience', 'wheelchair': 'limited'}",,22.04567222,False
188,1651,3,,Mágnáskert Csemege,32.0,1025,Budapest,Csatárka út,58,,POINT (47.53 19.00996),Csatárka út 58.,,,,,,,,,,,,,,,,,,+36 30 448 5029,magnaskert@mcsemege.hu,,,,,,,,,,,,,,,,,,,06:30:00,06:30:00,06:30:00,06:30:00,06:30:00,07:00:00,08:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,17:00:00,17:00:00,,,,,,,,,,,,,,,,,False,Mo-Fr 06:30-21:00; Sa 07:00-17:00; Su 08:00-17:00; PH off,47.52997875,19.009904940504327,2023-03-06 20:11:35.097464+00:00,,,3,CBA,shop,"{'shop': 'convenience', 'brand': 'CBA', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,True,False,2000.0,200.0,5.0,,322369322,OSM_object_type.way,5,0,2017-12-25 16:17:54.000000,"{'addr:city': 'Budapest', 'addr:housenumber': '58', 'addr:postcode': '1025', 'addr:street': 'Csatárka út', 'building': 'retail', 'name': 'CBA Príma', 'opening_hours': 'Mo-Fr 06:30-21:00; Sa 07:00-17:00; Su 08:00-17:00', 'payment:meal_voucher': 'yes', 'shop': 'supermarket', 'wheelchair': 'limited'}","[3291365590, 3291365580, 3696002575, 3291365586, 3291365590]",0,False
189,1157,3,,Pusztaszeri Csemege,32.0,1025,Budapest,Pusztaszeri út,57,,POINT (47.52535 19.02385),Pusztaszeri út 57,,,,,,,,,,,,,,,,,,+36 30 495 9730,pusztaszeri@mcsemege.hu,,,,,,,,,,,,,,,,,,,06:30:00,06:30:00,06:30:00,06:30:00,06:30:00,07:00:00,08:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,17:00:00,17:00:00,,,,,,,,,,,,,,,,,False,Mo-Fr 06:30-21:00; Sa 07:00-17:00; Su 08:00-17:00; PH off,47.5253709,19.023714,2023-03-06 20:11:35.097464+00:00,,,3,CBA,shop,"{'shop': 'convenience', 'brand': 'CBA', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,True,False,2000.0,200.0,5.0,,4742868051,OSM_object_type.node,5,0,2023-02-04 15:07:06.000000,"{'addr:city': 'Budapest', 'addr:housenumber': '57', 'addr:postcode': '1025', 'addr:street': 'Pusztaszeri út', 'branch': 'Príma Pusztaszeri Csemege', 'brand': 'CBA', 'brand:wikidata': 'Q779845', 'name': 'CBA', 'opening_hours': 'Mo-Fr 06:30-21:00; Sa 07:00-17:00; Su 08:00-17:00', 'shop': 'convenience', 'wheelchair': 'limited'}",,0,False
