,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_phone,poi_email,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_good,poi_bad,poi_hash,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,preserve_original_name,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags,osm_nodes,poi_distance,poi_new
7735,3673,40,,0,921,Győr,Jókai utca,13-17,,POINT (47.682968 17.6298038),Jókai u. 13-17,https://business.facebook.com/tommarketgyor/,,,,,,,,,,,,,,,m,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"{not_in_water,street_is_around,street_metaphone_is_around}",{},,2020-03-17 14:00:01.986042+00:00,,,47.682968,17.6298038,40,Tom Market,shop,"{'shop': 'convenience', 'name': 'Tom Market', 'contact:facebook': 'https://www.facebook.com/TOM.Market.Magyarorszag',  'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes',  'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes',  'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes',  'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes',  'payment:unionpay': 'yes',  'payment:cash': 'yes', }",https://tommarket.hu,hutommacon,tom market|tommarket,False,2000.0,200.0,,,,,,2020-03-17T15:53:47Z,,,,True
7736,3563,40,,630,2040,Budaörs,Szabadság út,44,,POINT (47.4610975 18.9565226),Szabadság u 44.,https://www.facebook.com/budaorsitommarket/,,,,,,,,,,,,,,,m,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"{not_in_water,street_is_around,street_metaphone_is_around}",{},,2020-03-17 14:00:01.986042+00:00,,,47.4610975,18.9565226,40,Tom Market,shop,"{'shop': 'convenience', 'name': 'Tom Market', 'contact:facebook': 'https://www.facebook.com/TOM.Market.Magyarorszag',  'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes',  'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes',  'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes',  'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes',  'payment:unionpay': 'yes',  'payment:cash': 'yes', }",https://tommarket.hu,hutommacon,tom market|tommarket,False,2000.0,200.0,,,,,,2020-03-17T15:53:47Z,,,,True
7737,3626,40,,811,2400,Dunaújváros,Táncsics Mihály utca,3,,POINT (46.9628858 18.9306698),Táncsics u. 3.,https://m.facebook.com/pages/category/Specialty-Grocery-Store/Tom-Market-Duna%C3%BAjv%C3%A1ros-347282478982249/?locale2=hu_HU,,,,,,,,,,,,,,,m,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"{not_in_water,street_is_around,street_metaphone_is_around}",{},,2020-03-17 14:00:01.986042+00:00,,,46.9628858,18.9306698,40,Tom Market,shop,"{'shop': 'convenience', 'name': 'Tom Market', 'contact:facebook': 'https://www.facebook.com/TOM.Market.Magyarorszag',  'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes',  'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes',  'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes',  'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes',  'payment:unionpay': 'yes',  'payment:cash': 'yes', }",https://tommarket.hu,hutommacon,tom market|tommarket,False,2000.0,200.0,,,,,,2020-03-17T15:53:47Z,,,,True
7738,3652,40,,820,2423,Daruszentmiklós,Fehérvári utca,59,,POINT (46.8734459 18.8534935),Fehérvári utca 59./B,https://business.facebook.com/Tom-Market-Daruszentmikl%C3%B3s-416726495542022/?business_id=207311463351871,,,,,,,,,,,,,,,m,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"{not_in_water,street_is_around,street_metaphone_is_around}",{},,2020-03-17 14:00:01.986042+00:00,,,46.8734459,18.8534935,40,Tom Market,shop,"{'shop': 'convenience', 'name': 'Tom Market', 'contact:facebook': 'https://www.facebook.com/TOM.Market.Magyarorszag',  'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes',  'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes',  'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes',  'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes',  'payment:unionpay': 'yes',  'payment:cash': 'yes', }",https://tommarket.hu,hutommacon,tom market|tommarket,False,2000.0,200.0,,,,,,2020-03-17T15:53:47Z,,,,True
7739,3662,40,,842,2458,Kulcs,Rákóczi Ferenc utca,102,,POINT (47.0541833 18.9138414),Rákóczi Ferenc u. 102,https://business.facebook.com/Tom-Market-Kulcs-669889186772735/?business_id=207311463351871,,,,,,,,,,,,,,,m,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"{not_in_water,street_is_around,street_metaphone_is_around}",{},,2020-03-17 14:00:01.986042+00:00,,,47.0541833,18.9138414,40,Tom Market,shop,"{'shop': 'convenience', 'name': 'Tom Market', 'contact:facebook': 'https://www.facebook.com/TOM.Market.Magyarorszag',  'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes',  'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes',  'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes',  'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes',  'payment:unionpay': 'yes',  'payment:cash': 'yes', }",https://tommarket.hu,hutommacon,tom market|tommarket,False,2000.0,200.0,,,,,,2020-03-17T15:53:47Z,,,,True
7740,3677,40,,843,2459,Rácalmás,Radnóti tér,10,,POINT (47.0264906 18.9203831),Radnóti tér 10.,https://business.facebook.com/tommarketracalmas/,,,,,,,,,,,,,,,m,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"{not_in_water,street_is_around,street_metaphone_is_around}",{},,2020-03-17 14:00:01.986042+00:00,,,47.0264906,18.9203831,40,Tom Market,shop,"{'shop': 'convenience', 'name': 'Tom Market', 'contact:facebook': 'https://www.facebook.com/TOM.Market.Magyarorszag',  'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes',  'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes',  'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes',  'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes',  'payment:unionpay': 'yes',  'payment:cash': 'yes', }",https://tommarket.hu,hutommacon,tom market|tommarket,False,2000.0,200.0,,,,,,2020-03-17T15:53:47Z,,,,True
7741,3682,40,,1010,2800,Tatabánya,Komáromi út,59,,POINT (47.593936 18.3900888),Komáromi út 59.,https://www.facebook.com/tmtatabanya/,,,,,,,,,,,,,,,m,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"{not_in_water,street_is_around,street_metaphone_is_around}",{},,2020-03-17 14:00:01.986042+00:00,,,47.593936,18.3900888,40,Tom Market,shop,"{'shop': 'convenience', 'name': 'Tom Market', 'contact:facebook': 'https://www.facebook.com/TOM.Market.Magyarorszag',  'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes',  'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes',  'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes',  'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes',  'payment:unionpay': 'yes',  'payment:cash': 'yes', }",https://tommarket.hu,hutommacon,tom market|tommarket,False,2000.0,200.0,,,,,,2020-03-17T15:53:47Z,,,,True
7742,3670,40,,1031,2851,Környe,Alkotmány utca,45,,POINT (47.5482912 18.3315054),Alkotmány u. 45.,https://business.facebook.com/Tom-Market-K%C3%B6rnye-872126053158867/?business_id=207311463351871,,,,,,,,,,,,,,,m,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"{not_in_water,street_is_around,street_metaphone_is_around}",{},,2020-03-17 14:00:01.986042+00:00,,,47.5482912,18.3315054,40,Tom Market,shop,"{'shop': 'convenience', 'name': 'Tom Market', 'contact:facebook': 'https://www.facebook.com/TOM.Market.Magyarorszag',  'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes',  'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes',  'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes',  'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes',  'payment:unionpay': 'yes',  'payment:cash': 'yes', }",https://tommarket.hu,hutommacon,tom market|tommarket,False,2000.0,200.0,,,,,,2020-03-17T15:53:47Z,,,,True
7743,3683,40,,1073,2943,Bábolna,Mészáros utca,7/B,,POINT (47.642599 17.9744263),Mészáros út 7/B,https://tommarket.hu,,,,,,,,,,,,,,,m,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"{not_in_water,street_is_around,street_metaphone_is_around}",{},,2020-03-17 14:00:01.986042+00:00,,,47.642599,17.9744263,40,Tom Market,shop,"{'shop': 'convenience', 'name': 'Tom Market', 'contact:facebook': 'https://www.facebook.com/TOM.Market.Magyarorszag',  'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes',  'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes',  'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes',  'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes',  'payment:unionpay': 'yes',  'payment:cash': 'yes', }",https://tommarket.hu,hutommacon,tom market|tommarket,False,2000.0,200.0,,,,,,2020-03-17T15:53:47Z,,,,True
7744,3619,40,,2322,5700,Gyula,Béke sugárút,9-11,,POINT (46.6452184 21.2692806),Béke sgt. 9-11.,https://business.facebook.com/tommarketgyula/,,,,,,,,,,,,,,,m,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"{not_in_water,street_is_around,street_metaphone_is_around}",{},,2020-03-17 14:00:01.986042+00:00,,,46.6452184,21.2692806,40,Tom Market,shop,"{'shop': 'convenience', 'name': 'Tom Market', 'contact:facebook': 'https://www.facebook.com/TOM.Market.Magyarorszag',  'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes',  'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes',  'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes',  'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes',  'payment:unionpay': 'yes',  'payment:cash': 'yes', }",https://tommarket.hu,hutommacon,tom market|tommarket,False,2000.0,200.0,,,,,,2020-03-17T15:53:47Z,,,,True
