,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_ref,poi_phone,poi_email,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_opening_hours,poi_hash,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,osm_id,node,osm_version,osm_changeset,osm_timestamp,osm_live_tags,osm_nodes
0,133,2,,1062,2941,Ács,Fő utca,2,,POINT (47.709941 18.015708),"2941 Ács, Fő u. 2.",/toltoallomas/?id=114,114,3634595009.0,gatkft@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-12 12:02:39.524345+00:00,,,47.709941,18.015708,2,Avia,fuel,"{'amenity': 'fuel', 'brand': 'Avia', 'operator': 'AVIA Hungária Kft.', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes', 'email': 'avia@avia.hu', 'facebook': 'https://www.facebook.com/AVIAHungary', 'youtube': 'https://www.youtube.com/channel/UCjvjkjf2RgmKBuTnKSXk-Rg', }",https://www.avia.hu,huaviafu,,,,,,,
1,134,2,,3695,8675,Andocs,Ady Endre utca,,206/5,POINT (46.652441 17.924793),"8675 Andocs, Ady Endre u. 206/5 hrsz",/toltoallomas/?id=47,47,3684330734.0,andocs@avia.hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-12 12:02:39.524345+00:00,,,46.652441,17.924793,2,Avia,fuel,"{'amenity': 'fuel', 'brand': 'Avia', 'operator': 'AVIA Hungária Kft.', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes', 'email': 'avia@avia.hu', 'facebook': 'https://www.facebook.com/AVIAHungary', 'youtube': 'https://www.youtube.com/channel/UCjvjkjf2RgmKBuTnKSXk-Rg', }",https://www.avia.hu,huaviafu,1559171089,True,1,0,2011-12-23T11:13:54Z,"{'fuel:biogas': 'no', 'fuel:octane_100': 'no', 'amenity': 'fuel', 'fuel:electricity': 'no', 'fuel:1_25': 'no', 'fuel:e85': 'no', 'fuel:cng': 'no', 'fuel:octane_91': 'no', 'fuel:diesel': 'yes', 'fuel:1_50': 'no', 'fuel:biodiesel': 'no', 'fuel:e10': 'no', 'fuel:octane_95': 'yes', 'fuel:HGV_diesel': 'no', 'fuel:octane_98': 'yes', 'fuel:GTL_diesel': 'no', 'fuel:lpg': 'no'}",
2,135,2,,710,2170,Aszód,Falujárók útja,44,,POINT (47.6587106 19.4994406),"2170 Aszód, Falujárók útja 44.",/toltoallomas/?id=88,88,36202004000.0,jeno.horvath@goldenglob.hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-12 12:02:39.524345+00:00,,,47.6587106,19.4994406,2,Avia,fuel,"{'amenity': 'fuel', 'brand': 'Avia', 'operator': 'AVIA Hungária Kft.', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes', 'email': 'avia@avia.hu', 'facebook': 'https://www.facebook.com/AVIAHungary', 'youtube': 'https://www.youtube.com/channel/UCjvjkjf2RgmKBuTnKSXk-Rg', }",https://www.avia.hu,huaviafu,,,,,,,
3,136,2,,4006,8992,Bagod,Kossuth utca,21-23,,POINT (46.87672420429322 16.74576044082642),"8992 Bagod, Kossuth u. 21-23.",/toltoallomas/?id=9,9,3692460696.0,aviadiesel@avia.hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-12 12:02:39.524345+00:00,,,46.87672420429322,16.745760440826416,2,Avia,fuel,"{'amenity': 'fuel', 'brand': 'Avia', 'operator': 'AVIA Hungária Kft.', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes', 'email': 'avia@avia.hu', 'facebook': 'https://www.facebook.com/AVIAHungary', 'youtube': 'https://www.youtube.com/channel/UCjvjkjf2RgmKBuTnKSXk-Rg', }",https://www.avia.hu,huaviafu,,,,,,,
4,137,2,,2490,6500,Baja,Bajcsy-Zs. utca,56,,POINT (46.18934 18.933),"6500 Baja, Bajcsy-Zs. u. 56.",/toltoallomas/?id=61,61,3679522730.0,baja@lamarin.hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-12 12:02:39.524345+00:00,,,46.18934,18.933,2,Avia,fuel,"{'amenity': 'fuel', 'brand': 'Avia', 'operator': 'AVIA Hungária Kft.', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes', 'email': 'avia@avia.hu', 'facebook': 'https://www.facebook.com/AVIAHungary', 'youtube': 'https://www.youtube.com/channel/UCjvjkjf2RgmKBuTnKSXk-Rg', }",https://www.avia.hu,huaviafu,,,,,,,
5,139,2,,2893,7516,Berzence,Árpád tér,1,,POINT (46.2086169 17.1451804),"7516 Berzence, Árpád tér 1.",/toltoallomas/?id=44,44,3682778711.0,berzencekut1120@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-12 12:02:39.524345+00:00,,,46.2086169,17.1451804,2,Avia,fuel,"{'amenity': 'fuel', 'brand': 'Avia', 'operator': 'AVIA Hungária Kft.', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes', 'email': 'avia@avia.hu', 'facebook': 'https://www.facebook.com/AVIAHungary', 'youtube': 'https://www.youtube.com/channel/UCjvjkjf2RgmKBuTnKSXk-Rg', }",https://www.avia.hu,huaviafu,,,,,,,
6,140,2,,1855,4235,Biri,Fő utca,32,,POINT (47.813262 21.850911),"4235 Biri, Fő u. 32.",/toltoallomas/?id=85,85,,birispetrolkft@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-12 12:02:39.524345+00:00,,,47.813262,21.850911,2,Avia,fuel,"{'amenity': 'fuel', 'brand': 'Avia', 'operator': 'AVIA Hungária Kft.', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes', 'email': 'avia@avia.hu', 'facebook': 'https://www.facebook.com/AVIAHungary', 'youtube': 'https://www.youtube.com/channel/UCjvjkjf2RgmKBuTnKSXk-Rg', }",https://www.avia.hu,huaviafu,3489613996,True,1,0,2015-04-30T20:51:08Z,"{'source:date': '2010-05-10', 'amenity': 'fuel', 'url': 'http://turistautak.hu/poi.php?id=53006', 'source': 'turistautak.hu'}",
7,141,2,,133,1144,Budapest,Gvadányi út,67,,POINT (47.5146 19.1466),"1144 Budapest, Gvadányi út 67.",/toltoallomas/?id=12,12,3614609623.0,zsoniko@avia.hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-12 12:02:39.524345+00:00,,,47.5146,19.1466,2,Avia,fuel,"{'amenity': 'fuel', 'brand': 'Avia', 'operator': 'AVIA Hungária Kft.', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes', 'email': 'avia@avia.hu', 'facebook': 'https://www.facebook.com/AVIAHungary', 'youtube': 'https://www.youtube.com/channel/UCjvjkjf2RgmKBuTnKSXk-Rg', }",https://www.avia.hu,huaviafu,209570435,False,3,0,2015-03-15T10:49:57Z,"{'website': 'http://www.avia.hu', 'brand': 'AVIA', 'building': 'yes', 'amenity': 'fuel', 'name': 'AVIA'}","[2197771374, 2197771460, 2197771287, 2197771468, 2197771328, 2197771388, 2197771502, 2197771280, 2197771447, 2197771361, 2197771396, 2197771481, 2197771374]"
8,142,2,,178,1214,Budapest,II. Rákóczi Ferenc utca,195-197,,POINT (47.4114179 19.0566853),"1214 Budapest, II. Rákóczi Ferenc u. 195-197.",/toltoallomas/?id=1,1,3614206675.0,vadber@avia.hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-12 12:02:39.524345+00:00,,,47.4114179,19.0566853,2,Avia,fuel,"{'amenity': 'fuel', 'brand': 'Avia', 'operator': 'AVIA Hungária Kft.', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes', 'email': 'avia@avia.hu', 'facebook': 'https://www.facebook.com/AVIAHungary', 'youtube': 'https://www.youtube.com/channel/UCjvjkjf2RgmKBuTnKSXk-Rg', }",https://www.avia.hu,huaviafu,,,,,,,
9,143,2,,103,1106,Budapest,Kerepesi út,89,,POINT (47.5056 19.1604),"1106 Budapest, Kerepesi út 89.",/toltoallomas/?id=15,15,36209791555.0,zsoniko@avia.hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-12 12:02:39.524345+00:00,,,47.5056,19.1604,2,Avia,fuel,"{'amenity': 'fuel', 'brand': 'Avia', 'operator': 'AVIA Hungária Kft.', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes', 'email': 'avia@avia.hu', 'facebook': 'https://www.facebook.com/AVIAHungary', 'youtube': 'https://www.youtube.com/channel/UCjvjkjf2RgmKBuTnKSXk-Rg', }",https://www.avia.hu,huaviafu,203129409,False,6,0,2016-02-02T10:18:02Z,"{'amenity': 'fuel', 'addr:street': 'Kerepesi út', 'building:levels': '1', 'addr:housenumber': '89', 'website': 'http://www.avia.hu', 'brand': 'AVIA', 'addr:city': 'Budapest', 'building:min_level': '1', 'building': 'yes', 'building:part': 'roof', 'addr:housename': 'AVIA töltőállomás', 'height': '5', 'addr:postcode': '1106', 'min_height': '4.5', 'name': 'AVIA'}","[2131009295, 2131009260, 2473458175, 2131009268, 2131009244, 2473458174, 2131009295]"
