,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_ref,poi_phone,poi_email,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_good,poi_bad,poi_hash,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,preserve_original_name,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags,osm_nodes,poi_distance
1032,994,3,,668,1011,Budapest,Batthyány tér,5-6,,POINT (47.50616 19.03808),Batthyány tér 5-6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"{not_in_water,street_is_around,street_metaphone_is_around}",{},,2019-08-17 23:08:30.213553+00:00,,,47.50616,19.03808,3,dm,chemist,"{'shop': 'chemist', 'operator': 'dm Kft.', 'brand':'dm', 'addr:country': 'HU', 'facebook':'https://www.facebook.com/dm.Magyarorszag', 'youtube': 'https://www.youtube.com/user/dmMagyarorszag', 'instagram':'https://www.instagram.com/dm_magyarorszag', 'payment:cash': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'air_conditioning': 'yes'}",https://www.dm.hu,hudmche,dm,False,2000.0,50.0,15.0,,,,,2019-08-17T23:14:56Z,,,
1033,995,3,,669,1012,Budapest,Krisztina körút,39/B,,POINT (47.49998 19.02562),Krisztina körút 39/b.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"{not_in_water,street_is_around,street_metaphone_is_around}",{},,2019-08-17 23:08:30.213553+00:00,,,47.4999027187609,19.0256955444857,3,dm,chemist,"{'shop': 'chemist', 'operator': 'dm Kft.', 'brand':'dm', 'addr:country': 'HU', 'facebook':'https://www.facebook.com/dm.Magyarorszag', 'youtube': 'https://www.youtube.com/user/dmMagyarorszag', 'instagram':'https://www.instagram.com/dm_magyarorszag', 'payment:cash': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'air_conditioning': 'yes'}",https://www.dm.hu,hudmche,dm,False,2000.0,50.0,15.0,2505409780,OSM_object_type.node,6,0,2018-11-01T11:39:53Z,"{'addr:country': 'HU', 'wheelchair': 'yes', 'payment:mastercard': 'yes', 'website': 'http://www.dm-drogeriemarkt.hu/', 'addr:street': 'Kosciuszko Tádé utca', 'brand': 'dm', 'name': 'dm', 'addr:city': 'Budapest', 'opening_hours': 'Mo-Fr 07:30-19:00;Sa 08:00-13:00', 'shop': 'chemist', 'payment:visa': 'yes', 'level': '0', 'payment:contactless': 'yes'}",,10.29811895
1034,996,3,,670,1013,Budapest,Krisztina körút,65-67,,POINT (47.4967653 19.0317985),Krisztina krt. 65-67.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"{not_in_water,street_is_around,street_metaphone_is_around}",{},,2019-08-17 23:08:30.213553+00:00,,,47.4965389609638,19.0319256304756,3,dm,chemist,"{'shop': 'chemist', 'operator': 'dm Kft.', 'brand':'dm', 'addr:country': 'HU', 'facebook':'https://www.facebook.com/dm.Magyarorszag', 'youtube': 'https://www.youtube.com/user/dmMagyarorszag', 'instagram':'https://www.instagram.com/dm_magyarorszag', 'payment:cash': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'air_conditioning': 'yes'}",https://www.dm.hu,hudmche,dm,False,2000.0,50.0,15.0,5272001914,OSM_object_type.node,2,0,2018-01-09T16:01:16Z,"{'ref:dm': '363', 'name': 'dm', 'addr:city': 'Budapest', 'opening_hours': 'Mo-Fr 07:00-19:00; Sa 09:00-17:00', 'shop': 'chemist', 'addr:street': 'Krisztina tér', 'addr:postcode': '1013', 'addr:housenumber': '9'}",,26.91910167
1035,997,3,,674,1021,Budapest,Hűvösvölgyi út,138,,POINT (47.53768 18.96638),Hűvösvölgyi út 138.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"{not_in_water,street_is_around,street_metaphone_is_around}",{},,2019-08-17 23:08:30.213553+00:00,,,47.5375989685243,18.9664292834474,3,dm,chemist,"{'shop': 'chemist', 'operator': 'dm Kft.', 'brand':'dm', 'addr:country': 'HU', 'facebook':'https://www.facebook.com/dm.Magyarorszag', 'youtube': 'https://www.youtube.com/user/dmMagyarorszag', 'instagram':'https://www.instagram.com/dm_magyarorszag', 'payment:cash': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'air_conditioning': 'yes'}",https://www.dm.hu,hudmche,dm,False,2000.0,50.0,15.0,1962347687,OSM_object_type.node,6,0,2015-05-10T20:59:56Z,"{'brand': 'dm', 'wheelchair': 'yes', 'name': 'dm', 'website': 'http://www.dm-drogeriemarkt.hu/', 'opening_hours': 'Mo-Fr 08:00-21:00; Sa 08:00-20:00', 'shop': 'chemist'}",,9.74026707
1036,998,3,,676,1023,Budapest,Bécsi út,33-35,,POINT (47.52717 19.03827),Bécsi út 33-35.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"{not_in_water,street_is_around,street_metaphone_is_around}",{},,2019-08-17 23:08:30.213553+00:00,,,47.5269410191169,19.0381245449252,3,dm,chemist,"{'shop': 'chemist', 'operator': 'dm Kft.', 'brand':'dm', 'addr:country': 'HU', 'facebook':'https://www.facebook.com/dm.Magyarorszag', 'youtube': 'https://www.youtube.com/user/dmMagyarorszag', 'instagram':'https://www.instagram.com/dm_magyarorszag', 'payment:cash': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'air_conditioning': 'yes'}",https://www.dm.hu,hudmche,dm,False,2000.0,50.0,15.0,2628339258,OSM_object_type.node,6,0,2017-08-22T18:32:02Z,"{'brand': 'dm', 'shop': 'chemist', 'name': 'dm', 'wheelchair': 'yes', 'website': 'http://www.dm-drogeriemarkt.hu/'}",,27.70496254
1037,999,3,,677,1024,Budapest,Lövőház utca,1-5,,POINT (47.5089792 19.0266523),Lövőház utca 1-5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"{not_in_water,street_is_around,street_metaphone_is_around}",{},,2019-08-17 23:08:30.213553+00:00,,,47.5089792,19.0266523,3,dm,chemist,"{'shop': 'chemist', 'operator': 'dm Kft.', 'brand':'dm', 'addr:country': 'HU', 'facebook':'https://www.facebook.com/dm.Magyarorszag', 'youtube': 'https://www.youtube.com/user/dmMagyarorszag', 'instagram':'https://www.instagram.com/dm_magyarorszag', 'payment:cash': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'air_conditioning': 'yes'}",https://www.dm.hu,hudmche,dm,False,2000.0,50.0,15.0,,,,,2019-08-17T23:14:56Z,,,
1038,1000,3,,678,1025,Budapest,Törökvész út,87-91,,POINT (47.5290574 19.005256),Törökvész út 87-91.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"{not_in_water,street_is_around,street_metaphone_is_around}",{},,2019-08-17 23:08:30.213553+00:00,,,47.5289672655424,19.0052742329633,3,dm,chemist,"{'shop': 'chemist', 'operator': 'dm Kft.', 'brand':'dm', 'addr:country': 'HU', 'facebook':'https://www.facebook.com/dm.Magyarorszag', 'youtube': 'https://www.youtube.com/user/dmMagyarorszag', 'instagram':'https://www.instagram.com/dm_magyarorszag', 'payment:cash': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'air_conditioning': 'yes'}",https://www.dm.hu,hudmche,dm,False,2000.0,50.0,15.0,6178713346,OSM_object_type.node,2,0,2019-01-11T15:18:44Z,"{'shop': 'chemist', 'level': '3', 'name': 'dm'}",,10.1155663
1039,1001,3,,679,1026,Budapest,Pázsit utca,2,,POINT (47.51631 18.9999),Pázsit utca 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"{not_in_water,street_is_around,street_metaphone_is_around}",{},,2019-08-17 23:08:30.213553+00:00,,,47.51631,18.9999,3,dm,chemist,"{'shop': 'chemist', 'operator': 'dm Kft.', 'brand':'dm', 'addr:country': 'HU', 'facebook':'https://www.facebook.com/dm.Magyarorszag', 'youtube': 'https://www.youtube.com/user/dmMagyarorszag', 'instagram':'https://www.instagram.com/dm_magyarorszag', 'payment:cash': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'air_conditioning': 'yes'}",https://www.dm.hu,hudmche,dm,False,2000.0,50.0,15.0,,,,,2019-08-17T23:14:56Z,,,
1040,1002,3,,679,1026,Budapest,Gábor Áron utca,74-78,,POINT (47.5225816 19.0147754),Gábor Áron utca 74-78/a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"{not_in_water,street_is_around,street_metaphone_is_around}",{},,2019-08-17 23:08:30.213553+00:00,,,47.5226181591181,19.0143244001247,3,dm,chemist,"{'shop': 'chemist', 'operator': 'dm Kft.', 'brand':'dm', 'addr:country': 'HU', 'facebook':'https://www.facebook.com/dm.Magyarorszag', 'youtube': 'https://www.youtube.com/user/dmMagyarorszag', 'instagram':'https://www.instagram.com/dm_magyarorszag', 'payment:cash': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'air_conditioning': 'yes'}",https://www.dm.hu,hudmche,dm,False,2000.0,50.0,15.0,6165829017,OSM_object_type.node,2,0,2019-01-11T15:18:43Z,"{'name': 'dm', 'addr:city': 'Budapest', 'shop': 'chemist', 'addr:housenumber': '74-78', 'addr:street': 'Gábor Áron utca', 'addr:postcode': '1026', 'level': '0'}",,34.10868305
1041,1003,3,,680,1027,Budapest,Margit körút,50-52,,POINT (47.5109 19.03223),Margit körút 50-52.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"{not_in_water,street_is_around,street_metaphone_is_around}",{},,2019-08-17 23:08:30.213553+00:00,,,47.5108233709778,19.0322265660958,3,dm,chemist,"{'shop': 'chemist', 'operator': 'dm Kft.', 'brand':'dm', 'addr:country': 'HU', 'facebook':'https://www.facebook.com/dm.Magyarorszag', 'youtube': 'https://www.youtube.com/user/dmMagyarorszag', 'instagram':'https://www.instagram.com/dm_magyarorszag', 'payment:cash': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'air_conditioning': 'yes'}",https://www.dm.hu,hudmche,dm,False,2000.0,50.0,15.0,4199036195,OSM_object_type.node,3,0,2019-01-10T22:38:20Z,"{'name': 'dm', 'website': 'https://www.dm-drogeriemarkt.hu/', 'addr:city': 'Budapest', 'opening_hours': 'Mo-Fr 07:00-20:00; Sa 08:00-16:00', 'shop': 'chemist', 'addr:street': 'Margit körút', 'addr:postcode': '1027', 'addr:housenumber': '50-52', 'phone': '+36304013403'}",,8.52467258
